Ticker,Annualised Return (%),Annualised Volatility (%),Sharpe Ratio,Beta vs NIFTY50,Maximum Drawdown (%),SMA_50,SMA_200
APOLLOHOSP,28.03,21.74,0.99,0.564,-14.87,7056.82,6565.78
AXISBANK,8.81,21.9,0.105,1.06,-19.18,1143.2,1160.5
CIPLA,22.04,24.07,0.646,0.332,-20.77,1486.84,1493.14
DIVISLAB,34.65,26.26,1.072,0.453,-21.45,5902.24,4851.42
DRREDDY,28.03,19.45,1.107,0.429,-15.61,1264.83,1268.54
HCLTECH,37.86,21.37,1.468,0.787,-21.66,1793.46,1560.2
HDFCBANK,7.62,19.8,0.057,1.039,-19.91,877.13,805.41
ICICIBANK,20.59,18.34,0.768,0.97,-9.45,1283.17,1189.13
INFY,16.42,23.09,0.43,0.902,-24.34,1824.44,1650.15
KOTAKBANK,1.1,20.47,-0.264,0.863,-23.15,351.79,353.39
SBIN,18.59,25.57,0.473,1.391,-17.48,811.96,795.25
SUNPHARMA,35.34,17.37,1.66,0.473,-12.24,1789.58,1662.53
TCS,16.41,19.71,0.503,0.747,-13.17,3988.15,3898.83
TECHM,33.44,25.16,1.071,0.873,-16.22,1666.05,1441.97
WIPRO,25.22,24.15,0.775,1.073,-19.53,272.5,244.27
